,Name,Price,rating,spec,review
0,"
TVS Jupiter 125	","
Rs. 75,625	",3.5,124 cc | Petrol,|  58 reviews
1,"
Royal Enfield Classic 350	","
Rs. 1.87 Lakh	",3.7,349 cc | 41 kmpl | Petrol,|  370 reviews
2,"
Yamaha YZF R15 V3	","
Rs. 1.57 Lakh	",4,155 cc | 48 kmpl | Petrol,|  4852 reviews
3,"
TVS Apache RTR 160	","
Rs. 1.09 Lakh	",4,159 cc | Petrol,|  4914 reviews
4,"
TVS Apache RTR 160 4V	","
Rs. 1.17 Lakh	",3.9,159 cc | Petrol,|  2481 reviews
5,"
Yamaha MT 15	","
Rs. 1.46 Lakh	",3.8,155 cc | 52 kmpl | Petrol,|  1300 reviews
6,"
TVS Jupiter	","
Rs. 66,998	",4,109 cc | 64 kmpl | Petrol,|  2951 reviews
7,"
TVS Apache RR 310	","
Rs. 2.59 Lakh	",3.9,312 cc | 33 kmpl | Petrol,|  746 reviews
8,"
TVS XL100	","
Rs. 41,790	",4,99 cc | 80 kmpl | Petrol,|  504 reviews
9,"
TVS Star City Plus	","
Rs. 70,005	",4,109 cc | Petrol,|  680 reviews
10,"
TVS Scooty Zest	","
Rs. 65,416	",3.8,109 cc | Petrol,|  177 reviews
11,"
TVS NTORQ 125	","
Rs. 75,445	",3.9,124 cc | 54 kmpl | Petrol,|  2720 reviews
12,"
TVS Radeon	","
Rs. 59,925	",3.9,109 cc | 73 kmpl | Petrol,|  349 reviews
13,"
TVS Apache RTR 200 4V	","
Rs. 1.36 Lakh	",3.4,197 cc | Petrol,|  1393 reviews
14,"
TVS Scooty Pep Plus	","
Rs. 58,734	",3.5,87 cc | Petrol,|  454 reviews
15,"
Hero Splendor Plus	","
Rs. 65,610	",3.5,97 cc | Petrol,|  8360 reviews
16,"
TVS Apache RTR 180	","
Rs. 1.16 Lakh	",4,177 cc | Petrol,|  1263 reviews
17,"
TVS Sport	","
Rs. 58,930	",3.9,109 cc | Petrol,|  843 reviews
18,"
TVS iQube Electric	","
Rs. 1.38 Lakh	",,4.4 kW | 75 km/charge | Electric,|  144 reviews
19,"
TVS Raider	","
Rs. 77,500	",,124 cc | 67 kmpl | Petrol,|  238 reviews
